@relation knowledge
@attribute red numeric
@attribute green numeric
@attribute blue numeric
@attribute hue_sin numeric
@attribute hue_cos numeric
@attribute saturation numeric
@attribute value numeric
@attribute vol numeric
@attribute length_1 numeric
@attribute length_2 numeric
@attribute length_3 numeric
@attribute cuboid_length_relation_1 numeric
@attribute cuboid_length_relation_2 numeric
@attribute label_2d {baguette,corny,wlanadapter,dlink,cafetfilter}
@attribute shape numeric
@attribute class {r_containerbox,nor_containerbox}
@data
99,81,106,-0.87462,-0.48481,0.483481,0.504624,0.000546806,0.158184,0.0962389,0.0359188,1.64366,4.40393,wlanadapter,1,nor_containerbox
99,80,106,-0.838671,-0.544639,0.48711,0.503895,0.000644791,0.159303,0.095805,0.0422481,1.66278,3.77065,dlink,1,nor_containerbox
99,80,106,-0.882948,-0.469472,0.484962,0.503837,0.000560716,0.158176,0.0963761,0.0367818,1.64124,4.30038,dlink,1,nor_containerbox
99,81,108,-0.891007,-0.453991,0.481704,0.505669,0.000557666,0.158103,0.0958337,0.0368058,1.64976,4.29559,dlink,1,nor_containerbox
99,81,107,-0.866025,-0.5,0.484444,0.506224,0.000604964,0.158913,0.0968054,0.0393252,1.64157,4.041,cafetfilter,1,nor_containerbox
99,80,105,-0.838671,-0.544639,0.48746,0.502602,0.000614287,0.159805,0.095668,0.0401803,1.67041,3.97721,cafetfilter,1,nor_containerbox
99,81,107,-0.838671,-0.544639,0.484394,0.505565,0.000618187,0.158913,0.0960714,0.0404917,1.65412,3.92459,wlanadapter,1,nor_containerbox
99,80,106,-0.866025,-0.5,0.488433,0.503825,0.000631281,0.16012,0.0969339,0.0406726,1.65184,3.93679,?,1,nor_containerbox
99,80,106,-0.87462,-0.48481,0.488763,0.503271,0.000620292,0.15843,0.0956969,0.0409128,1.65554,3.87239,dlink,1,nor_containerbox
99,80,107,-0.882948,-0.469472,0.487369,0.505846,0.000634598,0.158427,0.0959221,0.041759,1.65162,3.79384,dlink,1,nor_containerbox
99,80,106,-0.882948,-0.469472,0.488521,0.504405,0.000615478,0.158415,0.0963993,0.0403035,1.64332,3.93055,cafetfilter,2,nor_containerbox
98,80,106,-0.809017,-0.587785,0.488594,0.503058,0.000613861,0.15819,0.0957428,0.0405309,1.65223,3.90294,corny,1,nor_containerbox
99,80,106,-0.829038,-0.559193,0.490096,0.503818,0.000628248,0.15955,0.0959117,0.0410547,1.66351,3.88629,dlink,1,nor_containerbox
99,80,106,-0.87462,-0.48481,0.485861,0.504279,0.000614762,0.160643,0.0961597,0.0397971,1.67059,4.03656,cafetfilter,1,nor_containerbox
99,80,107,-0.848048,-0.529919,0.483381,0.504515,0.000621772,0.15904,0.0954461,0.0409605,1.66628,3.88277,?,1,nor_containerbox
