@relation knowledge
@attribute red numeric
@attribute green numeric
@attribute blue numeric
@attribute hue_sin numeric
@attribute hue_cos numeric
@attribute saturation numeric
@attribute value numeric
@attribute vol numeric
@attribute length_1 numeric
@attribute length_2 numeric
@attribute length_3 numeric
@attribute cuboid_length_relation_1 numeric
@attribute cuboid_length_relation_2 numeric
@attribute label_2d {baguette,corny,wlanadapter,dlink,cafetfilter}
@attribute shape numeric
@attribute class {baguette,corny,dlink,lion,milka,pringles,rubix,teabox}
@data
100,115,124,0.139173,-0.990268,0.285244,0.518838,0.0024345,0.236935,0.236935,0.093324,1,2.53885,cafetfilter,0,rubix
100,115,123,0.241922,-0.970296,0.283825,0.516782,0.00259073,0.246764,0.246764,0.0928239,1,2.65841,wlanadapter,2,rubix
100,117,126,0.207912,-0.978148,0.286639,0.524945,0.00227973,0.242683,0.242683,0.0859402,1,2.82385,wlanadapter,0,rubix
99,116,124,0.241922,-0.970296,0.29011,0.520493,0.00248631,0.242651,0.242651,0.0924385,1,2.625,?,2,rubix
102,117,125,0.207912,-0.978148,0.276856,0.522545,0.00286954,0.254352,0.254352,0.101527,1,2.50527,?,0,rubix
103,118,125,0.309017,-0.951057,0.273711,0.524164,0.00255328,0.253467,0.253467,0.0897124,1,2.82533,corny,0,rubix
101,116,124,0.258819,-0.965926,0.283977,0.519744,0.00247105,0.247389,0.247389,0.0894936,1,2.76432,?,2,rubix
100,116,124,0.207912,-0.978148,0.277195,0.51907,0.00240551,0.242306,0.242306,0.088618,1,2.73428,?,2,rubix
102,118,126,0.224951,-0.97437,0.280427,0.526996,0.00263759,0.253749,0.253749,0.0916032,1,2.77009,wlanadapter,2,rubix
101,115,123,0.325568,-0.945519,0.278127,0.516959,0.00227323,0.23686,0.23686,0.0844083,1,2.80613,?,2,rubix
101,116,124,0.241922,-0.970296,0.279125,0.518832,0.00252557,0.248403,0.248403,0.0915939,1,2.71201,?,0,rubix
101,116,124,0.241922,-0.970296,0.283339,0.520539,0.00276085,0.242267,0.242267,0.102639,1,2.36038,?,2,rubix
101,117,126,0.224951,-0.97437,0.290424,0.526086,0.00254634,0.242265,0.242265,0.0942221,1,2.57121,wlanadapter,2,rubix
101,115,123,0.241922,-0.970296,0.273916,0.515207,0.00231647,0.243049,0.243049,0.0863979,1,2.81314,wlanadapter,0,rubix
101,117,125,0.275637,-0.961262,0.283284,0.524778,0.00251198,0.244922,0.244922,0.0913548,1,2.681,?,0,rubix
100,117,126,0.173648,-0.984808,0.291256,0.525785,0.00255889,0.24569,0.24569,0.0939238,1,2.61585,?,0,rubix
101,117,125,0.275637,-0.961262,0.28438,0.524355,0.0024109,0.244517,0.244517,0.0895848,1,2.72945,?,0,rubix
101,116,125,0.224951,-0.97437,0.280567,0.521422,0.00258477,0.252255,0.252255,0.0916632,1,2.75198,?,0,rubix
100,115,123,0.224951,-0.97437,0.280863,0.516764,0.00257027,0.243082,0.243082,0.0928076,1,2.61921,wlanadapter,0,rubix
102,117,125,0.292372,-0.956305,0.277716,0.522416,0.00285018,0.243809,0.243809,0.10575,1,2.30552,?,2,rubix
102,117,125,0.275637,-0.961262,0.281477,0.523425,0.00260866,0.242405,0.242405,0.0962326,1,2.51895,?,0,rubix
99,115,123,0.156434,-0.987688,0.289872,0.516325,0.00246562,0.243057,0.243057,0.091326,1,2.66143,?,0,rubix
102,116,123,0.325568,-0.945519,0.278049,0.518719,0.00284319,0.247777,0.247777,0.104145,1,2.37916,?,2,rubix
104,117,125,0.275637,-0.961262,0.270454,0.523504,0.00300195,0.261733,0.261733,0.102784,1,2.54643,?,0,rubix
101,115,123,0.292372,-0.956305,0.279142,0.517171,0.00221408,0.232207,0.232207,0.0851263,1,2.7278,?,2,rubix
101,117,125,0.258819,-0.965926,0.283174,0.523688,0.00226781,0.234811,0.234811,0.0858664,1,2.73461,wlanadapter,2,rubix
102,116,124,0.275637,-0.961262,0.275802,0.520426,0.00241827,0.241911,0.241911,0.0900095,1,2.68762,wlanadapter,0,rubix
100,116,124,0.275637,-0.961262,0.2856,0.521094,0.00238083,0.23852,0.23852,0.0891397,1,2.67581,?,2,rubix
101,115,123,0.258819,-0.965926,0.281499,0.517662,0.00232963,0.241566,0.241566,0.0858544,1,2.81367,wlanadapter,2,rubix
102,116,124,0.292372,-0.956305,0.278133,0.518534,0.00231043,0.247972,0.247972,0.0831227,1,2.98321,?,2,rubix
101,116,124,0.292372,-0.956305,0.286044,0.52192,0.00254594,0.245244,0.245244,0.094484,1,2.59562,wlanadapter,0,rubix
100,115,123,0.258819,-0.965926,0.285303,0.518354,0.00239488,0.232173,0.232173,0.0912693,1,2.54382,?,2,rubix
101,116,124,0.309017,-0.951057,0.284432,0.520565,0.00244261,0.236813,0.236813,0.0932357,1,2.53994,?,2,rubix
100,114,122,0.292372,-0.956305,0.276342,0.51208,0.0022283,0.250999,0.250999,0.0802414,1,3.12805,cafetfilter,2,rubix
100,115,122,0.325568,-0.945519,0.28011,0.514023,0.00256551,0.251636,0.251636,0.0889628,1,2.82855,wlanadapter,0,rubix
